year,state_min_wage,state,lh_employment,federal_min_wage,eff_min_wage,log_min_wage,log_employment,minwage_change
2014,8.0,CO,300.48333333333335,7.25,8.0,2.0794415416798357,5.705392289320099,0.21999999999999975
2015,8.23,CO,313.03333333333336,7.25,8.23,2.1077860146889784,5.746309681142458,0.23000000000000043
2016,8.31,CO,323.5416666666667,7.25,8.31,2.1174596088673567,5.779327905234842,0.08000000000000007
2017,9.3,CO,332.9166666666667,7.25,9.3,2.2300144001592104,5.807892208412375,0.9900000000000002
2018,10.2,CO,339.575,7.25,10.2,2.322387720290225,5.827694835708554,0.8999999999999986
2019,11.1,CO,345.14166666666665,7.25,11.1,2.4069451083182885,5.84395496076607,0.9000000000000004
2020,12.0,CO,272.0166666666667,7.25,12.0,2.4849066497880004,5.605863338928596,0.9000000000000004
2021,12.32,CO,305.6083333333333,7.25,12.32,2.511223958105374,5.7223043256814865,0.3200000000000003
2022,12.56,CO,338.34166666666664,7.25,12.56,2.5305171610400525,5.824056233046323,0.2400000000000002
2023,13.65,CO,350.7166666666667,7.25,13.65,2.613739521630969,5.859978680016523,1.0899999999999999
2000,6.15,CT,121.10833333333333,5.15,6.15,1.8164520818184267,4.796685461844125,
2001,6.4,CT,119.55833333333334,5.15,6.4,1.8562979903656263,4.783804397316344,0.25
2002,6.7,CT,122.84166666666665,5.15,6.7,1.9021075263969205,4.810896263265232,0.2999999999999998
2003,6.9,CT,125.14166666666667,5.15,6.9,1.9315214116032138,4.829446428898235,0.20000000000000018
2004,7.1,CT,127.53333333333335,5.15,7.1,1.9600947840472698,4.848377768338043,0.1999999999999993
2005,7.1,CT,129.45,5.15,7.1,1.9600947840472698,4.8632947061975464,0.0
2006,7.4,CT,132.57500000000002,5.15,7.4,2.0014800002101243,4.8871485230231935,0.3000000000000007
2007,7.65,CT,135.74166666666667,5.85,7.65,2.0347056478384444,4.910753569575559,0.25
2008,7.65,CT,137.30833333333334,6.55,7.65,2.0347056478384444,4.922229005275385,0.0
2009,8.0,CT,133.65833333333333,7.25,8.0,2.0794415416798357,4.895286792555332,0.34999999999999964
2010,8.25,CT,133.57500000000002,7.25,8.25,2.1102132003465894,4.894663117843836,0.25
2011,8.25,CT,137.13333333333333,7.25,8.25,2.1102132003465894,4.920953688550747,0.0
2012,8.25,CT,142.13333333333333,7.25,8.25,2.1102132003465894,4.956765584183525,0.0
2013,8.25,CT,146.78333333333333,7.25,8.25,2.1102132003465894,4.988957576583359,0.0
2014,8.7,CT,149.93333333333334,7.25,8.7,2.163323025660538,5.010190750857106,0.4499999999999993
2015,9.15,CT,151.19166666666666,7.25,9.15,2.21375387928743,5.018548347588117,0.45000000000000107
2016,9.6,CT,154.00833333333335,7.25,9.6,2.2617630984737906,5.03700671350371,0.4499999999999993
2017,10.1,CT,156.53333333333333,7.25,10.1,2.312535423847214,5.053268979845777,0.5
2018,10.1,CT,157.79999999999998,7.25,10.1,2.312535423847214,5.061328408411773,0.0
2019,11.0,CT,157.57500000000002,7.25,11.0,2.3978952727983707,5.059901535399174,0.9000000000000004
2020,12.0,CT,117.39166666666667,7.25,12.0,2.4849066497880004,4.765515922478261,1.0
